Timeseries computed from GloSAT.prelim01_reqSD_alternativegrid-178101-201912
Units: K anomalies from 1961-1990 reference period mean
Missing value:      -9.99900

 Year Month   Global      NH      SH
  1784    11  -9.999  -0.915  -9.999
  1784    12  -9.999  -1.756  -9.999
  1785     1  -9.999  -1.871  -9.999
  1785     2  -9.999  -3.481  -9.999
  1785     3  -9.999  -5.260  -9.999
  1785     4  -9.999  -2.775  -9.999
  1785     5  -9.999  -1.909  -9.999
  1785     6  -9.999  -0.815  -9.999
  1785     7  -9.999  -0.732  -9.999
  1785     8  -9.999  -0.512  -9.999
  1785     9  -9.999  -0.099  -9.999
  1785    10  -9.999  -1.361  -9.999
  1785    11  -9.999  -0.663  -9.999
  1785    12  -9.999  -2.506  -9.999
  1786     1  -9.999  -1.217  -9.999
  1786     2  -9.999  -1.546  -9.999
  1786     3  -9.999  -2.624  -9.999
  1786     4  -9.999   0.818  -9.999
  1786     5  -9.999  -1.209  -9.999
  1786     6  -9.999   0.211  -9.999
  1786     7  -9.999  -0.816  -9.999
  1786     8  -9.999  -0.514  -9.999
  1786     9  -9.999  -0.832  -9.999
  1786    10  -9.999  -2.361  -9.999
  1786    11  -9.999  -3.883  -9.999
  1786    12  -9.999  -1.788  -9.999
  1787     1  -9.999  -1.451  -9.999
  1787     2  -9.999  -0.132  -9.999
  1787     3  -9.999   0.163  -9.999
  1787     4  -9.999  -0.963  -9.999
  1787     5  -9.999  -0.811  -9.999
  1787     6  -9.999   0.788  -9.999
  1787     7  -9.999  -0.824  -9.999
  1787     8  -9.999  -0.460  -9.999
  1787     9  -9.999  -0.939  -9.999
  1787    10  -9.999   0.324  -9.999
  1787    11  -9.999  -1.425  -9.999
  1787    12  -9.999  -0.621  -9.999
  1788     1  -9.999  -0.349  -9.999
  1788     2  -9.999  -1.709  -9.999
  1788     3  -9.999  -2.506  -9.999
  1788     4  -9.999  -0.300  -9.999
  1788     5  -9.999  -0.387  -9.999
  1788     6  -9.999   0.761  -9.999
  1788     7  -9.999   1.822  -9.999
  1788     8  -9.999  -0.644  -9.999
  1788     9  -9.999   0.770  -9.999
  1788    10  -9.999  -1.560  -9.999
  1788    11  -9.999  -1.845  -9.999
  1788    12  -9.999  -7.771  -9.999
  1789     1  -9.999  -2.891  -9.999
  1789     2  -9.999  -1.134  -9.999
  1789     3  -9.999  -5.056  -9.999
  1789     4  -9.999  -0.880  -9.999
  1789     5  -9.999   1.227  -9.999
  1789     6  -9.999   0.069  -9.999
  1789     7  -9.999   1.232  -9.999
  1789     8  -9.999   0.747  -9.999
  1789     9  -9.999   0.501  -9.999
  1789    10  -9.999  -0.281  -9.999
  1789    11  -9.999  -0.259  -9.999
  1789    12  -9.999   0.977  -9.999
  1790     1  -9.999   0.662  -9.999
  1790     2  -9.999   1.422  -9.999
  1790     3  -9.999   0.335  -9.999
  1790     4  -9.999  -2.471  -9.999
  1790     5  -9.999   0.077  -9.999
  1790     6  -9.999  -0.120  -9.999
  1790     7  -9.999  -1.576  -9.999
  1790     8  -9.999  -0.401  -9.999
  1790     9  -9.999  -1.227  -9.999
  1790    10  -9.999  -1.077  -9.999
  1790    11  -9.999  -1.441  -9.999
  1790    12  -9.999  -0.292  -9.999
  1791     1  -9.999   1.162  -9.999
  1791     2  -9.999   0.735  -9.999
  1791     3  -9.999   0.073  -9.999
  1791     4  -9.999   1.658  -9.999
  1791     5  -9.999  -1.883  -9.999
  1791     6  -9.999  -0.311  -9.999
  1791     7  -9.999  -0.226  -9.999
  1791     8  -9.999   0.524  -9.999
  1791     9  -9.999  -0.567  -9.999
  1791    10  -9.999  -1.336  -9.999
  1791    11  -9.999  -1.450  -9.999
  1791    12  -9.999  -0.038  -9.999
  1792     1  -9.999  -2.159  -9.999
  1792     2  -9.999  -2.003  -9.999
  1792     3  -9.999  -1.248  -9.999
  1792     4  -9.999   0.570  -9.999
  1792     5  -9.999  -0.817  -9.999
  1792     6  -9.999  -0.159  -9.999
  1792     7  -9.999   0.986  -9.999
  1792     8  -9.999  -0.291  -9.999
  1792     9  -9.999  -0.180  -9.999
  1792    10  -9.999  -1.777  -9.999
  1792    11  -9.999  -0.996  -9.999
  1792    12  -9.999  -0.172  -9.999
  1793     1  -9.999  -1.606  -9.999
  1793     2  -9.999   1.578  -9.999
  1793     3  -9.999  -0.456  -9.999
  1793     4  -9.999  -1.336  -9.999
  1793     5  -9.999  -0.962  -9.999
  1793     6  -9.999  -0.880  -9.999
  1793     7  -9.999   1.193  -9.999
  1793     8  -9.999   0.214  -9.999
  1793     9  -9.999  -1.192  -9.999
  1793    10  -9.999   0.365  -9.999
  1793    11  -9.999  -0.348  -9.999
  1793    12  -9.999  -1.063  -9.999
  1794     1  -9.999   1.083  -9.999
  1794     2  -9.999   1.660  -9.999
  1794     3  -9.999   2.142  -9.999
  1794     4  -9.999   2.328  -9.999
  1794     5  -9.999   0.547  -9.999
  1794     6  -9.999   0.584  -9.999
  1794     7  -9.999   1.595  -9.999
  1794     8  -9.999  -0.752  -9.999
  1794     9  -9.999  -1.330  -9.999
  1794    10  -9.999  -0.356  -9.999
  1794    11  -9.999  -0.220  -9.999
  1794    12  -9.999  -1.933  -9.999
  1795     1  -9.999  -5.491  -9.999
  1795     2  -9.999  -1.913  -9.999
  1795     3  -9.999  -2.145  -9.999
  1795     4  -9.999   1.219  -9.999
  1795     5  -9.999  -1.045  -9.999
  1795     6  -9.999   0.136  -9.999
  1795     7  -9.999  -1.433  -9.999
  1795     8  -9.999  -0.163  -9.999
  1795     9  -9.999   0.707  -9.999
  1795    10  -9.999   1.176  -9.999
  1795    11  -9.999  -1.143  -9.999
  1795    12  -9.999   0.328  -9.999
  1796     1  -9.999   3.711  -9.999
  1796     2  -9.999   0.206  -9.999
  1796     3  -9.999  -3.383  -9.999
  1796     4  -9.999  -0.748  -9.999
  1796     5  -9.999  -0.708  -9.999
  1796     6  -9.999   0.061  -9.999
  1796     7  -9.999  -0.125  -9.999
  1796     8  -9.999   0.460  -9.999
  1796     9  -9.999   0.337  -9.999
  1796    10  -9.999  -1.008  -9.999
  1796    11  -9.999  -1.384  -9.999
  1796    12  -9.999  -3.200  -9.999
  1797     1  -9.999   0.156  -9.999
  1797     2  -9.999   1.768  -9.999
  1797     3  -9.999  -1.063  -9.999
  1797     4  -9.999  -0.416  -9.999
  1797     5  -9.999   0.437  -9.999
  1797     6  -9.999  -0.266  -9.999
  1797     7  -9.999   1.016  -9.999
  1797     8  -9.999   0.551  -9.999
  1797     9  -9.999   0.756  -9.999
  1797    10  -9.999  -0.381  -9.999
  1797    11  -9.999  -0.929  -9.999
  1797    12  -9.999   0.305  -9.999
  1798     1  -9.999  -0.491  -9.999
  1798     2  -9.999   0.291  -9.999
  1798     3  -9.999  -0.044  -9.999
  1798     4  -9.999   0.371  -9.999
  1798     5  -9.999   1.195  -9.999
  1798     6  -9.999   0.665  -9.999
  1798     7  -9.999   0.720  -9.999
  1798     8  -9.999   1.354  -9.999
  1798     9  -9.999   0.361  -9.999
  1798    10  -9.999  -0.289  -9.999
  1798    11  -9.999  -1.566  -9.999
  1798    12  -9.999  -4.301  -9.999
  1799     1  -9.999  -3.207  -9.999
  1799     2  -9.999  -4.570  -9.999
  1799     3  -9.999  -3.458  -9.999
  1799     4  -9.999  -1.707  -9.999
  1799     5  -9.999  -1.842  -9.999
  1799     6  -9.999  -1.040  -9.999
  1799     7  -9.999  -0.596  -9.999
  1799     8  -9.999  -0.475  -9.999
  1799     9  -9.999  -0.606  -9.999
  1799    10  -9.999  -0.903  -9.999
  1799    11  -9.999   0.070  -9.999
  1799    12  -9.999  -3.697  -9.999
  1800     1  -9.999  -1.509  -9.999
  1800     2  -9.999  -1.844  -9.999
  1800     3  -9.999  -3.669  -9.999
  1800     4  -9.999   1.768  -9.999
  1800     5  -9.999   0.661  -9.999
  1800     6  -9.999  -1.483  -9.999
  1800     7  -9.999  -0.879  -9.999
  1800     8  -9.999   0.129  -9.999
  1800     9  -9.999  -0.680  -9.999
  1800    10  -9.999  -0.502  -9.999
  1800    11  -9.999  -0.131  -9.999
  1800    12  -9.999  -0.145  -9.999
  1801     1  -9.999  -0.332  -9.999
  1801     2  -9.999  -0.928  -9.999
  1801     3  -9.999   0.987  -9.999
  1801     4  -9.999  -0.234  -9.999
  1801     5  -9.999   1.485  -9.999
  1801     6  -9.999  -1.070  -9.999
  1801     7  -9.999   0.104  -9.999
  1801     8  -9.999  -0.517  -9.999
  1801     9  -9.999   0.335  -9.999
  1801    10  -9.999   0.072  -9.999
  1801    11  -9.999  -0.245  -9.999
  1801    12  -9.999  -0.661  -9.999
  1802     1  -9.999  -1.854  -9.999
  1802     2  -9.999  -0.842  -9.999
