,Year,Global
0,2021,1.3863645020213846
1,2022,1.421941803443897
2,2023,1.4580884095871685
3,2024,1.4933500211039394
4,2025,1.5236166349822255
5,2026,1.5496379237477937
6,2027,1.5725074541615869
7,2028,1.5991095783443805
8,2029,1.626015285456066
9,2030,1.6551719022894136
10,2031,1.6845483422259848
11,2032,1.7154732618624182
12,2033,1.749947402531295
13,2034,1.789169977120025
14,2035,1.8259748450818512
15,2036,1.863549472597652
16,2037,1.9006359838441549
17,2038,1.9392280505520327
18,2039,1.9741975936947627
19,2040,2.0066345689120304
20,2041,2.0378498609360975
21,2042,2.070454932983026
22,2043,2.1055198039686713
23,2044,2.144114375843661
24,2045,2.189273116118568
25,2046,2.237912663048488
26,2047,2.2861769776332377
27,2048,2.334715113695396
28,2049,2.3811752840768716
29,2050,2.4209239399219693
30,2051,2.457913513336005
31,2052,2.4930059318512594
32,2053,2.5274394305793453
33,2054,2.564300915370743
34,2055,2.606190045109111
35,2056,2.6530413535916177
36,2057,2.699130729721273
37,2058,2.745380024347998
38,2059,2.7911708092868075
39,2060,2.8331099903207697
40,2061,2.871979786331676
41,2062,2.9093587780211125
42,2063,2.9474351345997225
43,2064,2.9867222344342035
44,2065,3.028558073338794
45,2066,3.076555451529746
46,2067,3.128899206024821
47,2068,3.1826633429433833
48,2069,3.233806129243642
49,2070,3.281093942283375
50,2071,3.3244105754407265
51,2072,3.366710309080317
52,2073,3.408704652510746
53,2074,3.44971476930861
54,2075,3.4912065492710114
55,2076,3.5330230751125753
56,2077,3.577184084354348
57,2078,3.6253462407374437
58,2079,3.676901011624299
59,2080,3.7300372519523064
60,2081,3.7820286904382163
61,2082,3.8325709277436175
62,2083,3.879277792424708
63,2084,3.9241948268804214
64,2085,3.9648238205237325
65,2086,4.003745583393537
66,2087,4.043239710965984
67,2088,4.083554311233465
68,2089,4.127217528499041
69,2090,4.175464526512872
70,2091,4.222269705468389
71,2092,4.271593807713902
72,2093,4.316382199553867
73,2094,4.357368535369358
74,2095,4.3987904955627375
75,2096,4.4385619614080145
76,2097,4.477924795893909
77,2098,4.512162440442389
78,2099,4.54884918955803
79,2100,4.5898233485048925
80,2101,4.634421972741762
81,2102,4.676704386285857
82,2103,4.717064737331357
83,2104,4.75405742595222
84,2105,4.786349389665499
85,2106,4.8165859104973086
86,2107,4.847444948494598
87,2108,4.879570128184411
88,2109,4.91279115005375
89,2110,4.948650214148533
90,2111,4.989425440915581
91,2112,5.028616435677557
92,2113,5.06437900332334
93,2114,5.095604320458046
94,2115,5.1260629193388905
95,2116,5.152346225836841
96,2117,5.177584022775725
97,2118,5.207456702935859
98,2119,5.237797317986624
99,2120,5.270783921057769
100,2121,5.307100010288926
101,2122,5.346177848069285
102,2123,5.379900541952997
103,2124,5.412512548007426
104,2125,5.440641282076004
105,2126,5.465506535169775
106,2127,5.489387090029858
107,2128,5.512631870756225
108,2129,5.536888818966515
109,2130,5.564124536171699
110,2131,5.597724915035818
111,2132,5.630846743605538
112,2133,5.665252748930072
113,2134,5.695488075383402
114,2135,5.721182463145873
115,2136,5.742565129570878
116,2137,5.76347422924136
117,2138,5.783952740812234
118,2139,5.804691551684466
119,2140,5.826658735784294
120,2141,5.851960265999705
121,2142,5.879903642545032
122,2143,5.907319272563478
123,2144,5.934517579425329
124,2145,5.9602854280449975
125,2146,5.982790462448352
126,2147,6.00495226770053
127,2148,6.0253685814910645
128,2149,6.045151720023965
129,2150,6.0648764626908696
130,2151,6.085001377317775
131,2152,6.107876222795433
132,2153,6.135227353758533
133,2154,6.164928509713858
134,2155,6.192445067733811
135,2156,6.217673778115324
136,2157,6.2394751192330205
137,2158,6.257422416513467
138,2159,6.272921370556004
139,2160,6.287695928108549
140,2161,6.303527897747724
141,2162,6.322479552088816
142,2163,6.346454432188578
143,2164,6.374115245293069
144,2165,6.398155417179205
145,2166,6.421545801802055
146,2167,6.438982661459152
147,2168,6.45298516503241
148,2169,6.4652176378029935
149,2170,6.477068368665858
150,2171,6.49032964289194
151,2172,6.509576122378375
152,2173,6.531671190330544
153,2174,6.554841926138455
154,2175,6.5786066307900715
155,2176,6.601519386726811
156,2177,6.622182908153322
157,2178,6.6404605862886905
158,2179,6.657573428972293
159,2180,6.673620289255193
160,2181,6.689340901235299
161,2182,6.704838356469222
162,2183,6.720563684816764
163,2184,6.734066824684086
164,2185,6.747081432465229
165,2186,6.763943171800059
166,2187,6.780445990993026
167,2188,6.7971843320139635
168,2189,6.813724927639947
169,2190,6.82653013903713
170,2191,6.8366701228697755
171,2192,6.845535130182157
172,2193,6.854379262151646
173,2194,6.863468560722544
174,2195,6.873933913455913
175,2196,6.887975131933555
176,2197,6.90497985167598
177,2198,6.922686793909584
178,2199,6.937877774296567
179,2200,6.9502283411738865
