,Year,Global
0,2021,1.3636785257410577
1,2022,1.3922117697504506
2,2023,1.4207202641861116
3,2024,1.4468685999995483
4,2025,1.4683571100242732
5,2026,1.4892088753189263
6,2027,1.5046959867144205
7,2028,1.5179747693165913
8,2029,1.5281717838415352
9,2030,1.5368618108694097
10,2031,1.5425993326144471
11,2032,1.547669663649526
12,2033,1.5552609385123406
13,2034,1.5673463454897436
14,2035,1.5776479643534098
15,2036,1.5885195154995024
16,2037,1.5936355446249515
17,2038,1.5956086099666817
18,2039,1.593579418836198
19,2040,1.5880960830788495
20,2041,1.5801021259859838
21,2042,1.572047791144039
22,2043,1.5650091971125721
23,2044,1.5600078655776788
24,2045,1.5596481870079812
25,2046,1.5614367790441175
26,2047,1.5650538531281264
27,2048,1.5666278452710811
28,2049,1.563897827266642
29,2050,1.5563863614376872
30,2051,1.5471829840370939
31,2052,1.5368765333033239
32,2053,1.5262732023419194
33,2054,1.5149059592774172
34,2055,1.5076142273605941
35,2056,1.505230059711518
36,2057,1.504111781860733
37,2058,1.5030652561877538
38,2059,1.5018914941120243
39,2060,1.497151789684183
40,2061,1.4894337907962958
41,2062,1.4805433513479977
42,2063,1.4720107470575978
43,2064,1.4641975971116348
44,2065,1.458028823612064
45,2066,1.4559970296344948
46,2067,1.4568326879201752
47,2068,1.4584955905427432
48,2069,1.458175153448983
49,2070,1.4550082341499637
50,2071,1.4487823474216497
51,2072,1.441901240898971
52,2073,1.4358504503199476
53,2074,1.4289540488323127
54,2075,1.4223327413180455
55,2076,1.4158921872153425
56,2077,1.4111427559371406
57,2078,1.409318922216034
58,2079,1.409795565379051
59,2080,1.4109424307505485
60,2081,1.4110875870297908
61,2082,1.4101062784324048
62,2083,1.4060552758607439
63,2084,1.4007506866803416
64,2085,1.3921022446810647
65,2086,1.3823451053818576
66,2087,1.3734434946314522
67,2088,1.3656135334420467
68,2089,1.3610112333361997
69,2090,1.360679421462498
70,2091,1.3625568568368809
71,2092,1.3671798035959721
72,2093,1.3679270671265737
73,2094,1.3638170743306872
74,2095,1.356593713980012
75,2096,1.3463824936156297
76,2097,1.3360352831766986
77,2098,1.3256100830624868
78,2099,1.3176775256495945
79,2100,1.3136225983494578
80,2101,1.3131095734549567
81,2102,1.3110784598236642
82,2103,1.3078758896656233
83,2104,1.3022705866628013
84,2105,1.2931249684551802
85,2106,1.2827009679455545
86,2107,1.271649731904779
87,2108,1.261559024863078
88,2109,1.2534315228809239
89,2110,1.2491627465636854
90,2111,1.2515528021742748
91,2112,1.2525509792571774
92,2113,1.2525664550052285
93,2114,1.2475196147967516
94,2115,1.2412391819523918
95,2116,1.2317834859772359
96,2117,1.221510330957798
97,2118,1.2111980565321736
98,2119,1.202033889610274
99,2120,1.1969233304797195
100,2121,1.1967645392906396
101,2122,1.1997033973053284
102,2123,1.1967014832289604
103,2124,1.193654613352704
104,2125,1.1864335825293764
105,2126,1.1762849136434164
106,2127,1.1680760742837608
107,2128,1.1606024945435225
108,2129,1.1526785502131256
109,2130,1.1476751761350286
110,2131,1.1509533212477545
111,2132,1.1518952516775025
112,2133,1.152644080981544
113,2134,1.1507664145655725
114,2135,1.1460067496145852
115,2136,1.137890562170886
116,2137,1.1268302400213626
117,2138,1.1156437508646202
118,2139,1.105137329023572
119,2140,1.096401046690326
120,2141,1.092199157638382
121,2142,1.0907501547679415
122,2143,1.0894763735091106
123,2144,1.0883974032896955
124,2145,1.086138327197839
125,2146,1.0806213283213257
126,2147,1.0751623416912917
127,2148,1.0695470523052142
128,2149,1.0643804102509296
129,2150,1.0594698871990467
130,2151,1.0550916305601712
131,2152,1.052699838446099
132,2153,1.0533623932343938
133,2154,1.0557519163794864
134,2155,1.0583208774394643
135,2156,1.0571674614241964
136,2157,1.0554120461055967
137,2158,1.0515088509825041
138,2159,1.0450070677695305
139,2160,1.0364834535030378
140,2161,1.0306513795464367
141,2162,1.027346868348555
142,2163,1.0295854517923595
143,2164,1.0371888298614151
144,2165,1.0403983949146023
145,2166,1.041805295529501
146,2167,1.0397401795345238
147,2168,1.0350916924808984
148,2169,1.0269654854219554
149,2170,1.0187658524074168
150,2171,1.0116796467275457
151,2172,1.0075258351837022
152,2173,1.0090378319436926
153,2174,1.0129627755241515
154,2175,1.0184123041877369
155,2176,1.0227412647514815
156,2177,1.023400376108989
157,2178,1.0201476259045192
158,2179,1.0152192330590282
159,2180,1.0087982058654035
160,2181,1.0022364145581166
161,2182,0.9957204706735194
162,2183,0.9927799599411372
163,2184,0.991008088138492
164,2185,0.9908893161121223
165,2186,0.9936438316291827
166,2187,0.9964048869166975
167,2188,1.0002055771766998
168,2189,1.0055836735500887
169,2190,1.0063116836397799
170,2191,1.0037735860798984
171,2192,1.0018710897309389
172,2193,1.0006511284792896
173,2194,0.9997128980514778
174,2195,0.999812035328532
175,2196,1.0024335962738398
176,2197,1.0071510314384282
177,2198,1.0128658183171733
178,2199,1.0189048538798515
179,2200,1.0213522030631101
